2026-03-25 15:06:11,289 | INFO | create_scd2_structure | SCD2 структура для passport_blacklist создана успешно
2026-03-25 15:06:11,289 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,343 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_passport_blacklist
2026-03-25 15:06:11,353 | INFO | move_to_archive | Файл перемещен в архив: archive\passport_blacklist_02032021.xlsx.backup
2026-03-25 15:06:11,383 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,391 | INFO | create_new_rows | banking.tmp_passport_blacklist_new_rows создана успешно
2026-03-25 15:06:11,392 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,423 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,428 | INFO | create_deleted_rows | banking.tmp_passport_blacklist_deleted_rows создана успешно
2026-03-25 15:06:11,428 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,459 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,465 | INFO | create_updated_rows | banking.tmp_passport_blacklist_updated_rows создана успешно
2026-03-25 15:06:11,465 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,495 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,499 | INFO | update_table_hist |  В banking.passport_blacklist_hist добавлены строчки
2026-03-25 15:06:11,499 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,530 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,535 | INFO | create_scd2_structure | SCD2 структура для terminals создана успешно
2026-03-25 15:06:11,535 | INFO | close_connection_postgres | Соединение с БД закрыто
